UID 168 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 171 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 173 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 174 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 175 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 176 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 177 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 178 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 179 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 180 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 181 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 182 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 183 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 184 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 185 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 186 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 187 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 188 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 189 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 190 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 191 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 192 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 193 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 194 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 195 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 196 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 197 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 198 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 199 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 200 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 201 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 202 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 203 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 204 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 205 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 206 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 207 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 208 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 209 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 210 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 211 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 212 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 213 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 214 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 215 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 216 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 217 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 218 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 219 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 220 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 221 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 222 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 223 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 224 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 225 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 226 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 227 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 228 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 229 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 230 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 231 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 232 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 233 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-nano', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 234 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-nano', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 235 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-nano', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 236 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-nano', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 237 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-nano', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 238 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-nano', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 239 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-nano', 'version': None, 'provider': 'openai', 'parameters': {}}
